huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
1,685.18,1,13.37,pass,1610612739,201567,7.15867,28.72366,4,"[0, 0, 0, 0, 0]",2590,36.26908,26.4228,0
1,685.14,1,13.33,shot,1610612739,2590,36.26908,26.4228,6,"[0, 0, 0, 0, 0]",,,,2
2,667.7,1,20.01,pass,1610612739,2590,24.03169,37.20802,8,"[1, 0, 0, 0, 0]",201567,29.45502,38.0214,0
2,667.66,1,19.97,pass,1610612739,201567,29.45502,38.0214,8,"[1, 0, 0, 0, 0]",2590,23.48141,38.00703,0
2,667.62,1,19.93,pass,1610612739,2590,23.48141,38.00703,8,"[1, 0, 0, 0, 0]",2544,10.56514,39.5806,0
2,667.54,1,19.85,pass,1610612739,2544,10.08293,39.05855,7,"[0, 0, 0, 0, 0]",2590,22.77773,39.25188,0
2,666.11,1,18.41,shot,1610612739,2590,15.52972,44.79125,7,"[0, 0, 0, 0, 0]",,,,2
3,511.15,1,23.09,pass,1610612739,202389,6.23333,29.48368,4,"[0, 1, 0, 0, 1]",2747,39.95923,27.24724,0
3,510.35,1,22.47,pass,1610612739,2747,39.65317,28.04387,6,"[0, 1, 0, 1, 1]",202389,5.5512,28.11679,0
3,510.31,1,22.43,pass,1610612739,202389,5.5512,28.11679,4,"[0, 1, 0, 1, 1]",2747,39.49903,28.40019,0
3,510.23,1,22.37,pass,1610612739,2747,39.42552,28.56648,6,"[0, 1, 0, 1, 1]",202389,5.62298,28.06154,0
3,509.99,1,22.18,shot,1610612739,202389,5.60331,27.9158,4,"[0, 1, 0, 0, 1]",,,,0
4,411.05,1,4.05,pass,1610612739,201567,10.34506,32.42906,4,"[0, 0, 0, 1, 1]",2747,29.98719,32.40107,0
4,410.81,1,3.81,shot,1610612739,2747,29.97715,32.43729,5,"[0, 0, 0, 1, 1]",,,,0
5,379.81,1,10.64,pass,1610612739,201567,8.94441,32.00185,4,"[0, 1, 0, 1, 1]",2210,27.03925,36.82756,0
5,379.29,1,10.23,shot,1610612739,2210,25.61862,38.56395,8,"[0, 1, 0, 1, 1]",,,,3
6,336.65,1,10.95,pass,1610612739,2590,21.62595,14.93517,2,"[0, 1, 0, 0, 0]",201567,22.54376,41.93596,0
6,335.61,1,9.91,shot,1610612739,201567,22.35904,42.13103,8,"[0, 0, 0, 0, 1]",,,,0
7,310.22,1,21.21,pass,1610612739,2590,31.00493,28.5588,5,"[0, 0, 0, 0, 0]",201567,58.96776,30.20657,0
7,310.06,1,21.07,pass,1610612739,201567,56.95256,30.40823,44,"[0, 0, 0, 0, 0]",2590,27.46329,30.76209,0
7,310.02,1,21.03,pass,1610612739,2590,27.46329,30.76209,5,"[0, 0, 0, 0, 0]",202684,40.51428,32.27394,0
7,309.94,1,20.96,pass,1610612739,202684,39.77683,32.153,6,"[0, 0, 0, 0, 1]",2590,25.57349,32.13924,0
7,306.82,1,18.14,shot,1610612739,2590,8.81703,45.80902,7,"[0, 0, 0, 1, 0]",,,,0
8,112.79,1,17.49,pass,1610612739,202684,28.81022,20.30548,5,"[0, 1, 0, 0, 0]",2544,33.06978,20.03369,0
8,112.59,1,17.29,shot,1610612739,2544,31.22649,17.87244,6,"[0, 1, 0, 0, 1]",,,,0
9,639.2,1,16.8,pass,1610612739,201567,9.679,42.77217,7,"[0, 0, 0, 0, 1]",2544,24.82473,42.99691,0
9,630.84,1,8.44,shot,1610612739,2544,22.33144,45.65539,8,"[0, 0, 0, 0, 0]",,,,0
10,132.39,1,14.29,pass,1610612739,202684,20.28955,9.85944,2,"[0, 1, 0, 1, 0]",203521,18.14742,6.70094,0
10,131.47,1,13.37,shot,1610612739,203521,14.36121,6.8062,1,"[0, 0, 0, 0, 1]",,,,0
11,502.22,1,23.82,pass,1610612739,2590,12.70748,26.83642,4,"[0, 1, 0, 0, 0]",2544,8.77531,26.37429,0
11,502.18,1,23.78,pass,1610612739,2544,8.77531,26.37429,4,"[0, 1, 0, 0, 0]",2590,13.53393,26.42196,0
11,498.06,1,19.57,shot,1610612739,2590,73.99281,17.27939,55,"[0, 0, 0, 0, 0]",,,,2
12,435.34,1,21.94,pass,1610612739,2590,10.20777,27.56907,4,"[0, 0, 0, 0, 0]",201567,17.29146,25.07266,0
12,434.62,1,21.22,pass,1610612739,201567,22.27832,25.59946,5,"[0, 0, 0, 0, 0]",2590,18.21959,24.81839,0
12,430.5,1,17.1,pass,1610612739,2590,54.25146,25.98925,44,"[0, 0, 0, 1, 0]",201567,65.74733,30.86783,0
12,427.9,1,14.5,shot,1610612739,201567,70.2964,14.12568,22,"[0, 0, 0, 0, 1]",,,,2
13,281.29,1,16.59,pass,1610612739,2590,52.52941,28.09026,44,"[0, 0, 0, 1, 0]",201567,61.78061,33.07662,0
13,278.41,1,13.71,shot,1610612739,201567,72.11384,17.65389,55,"[0, 0, 0, 0, 1]",,,,2
14,225.02,1,9.65,pass,1610612739,203521,57.29488,40.17492,77,"[0, 0, 0, 1, 0]",2590,90.44805,40.29794,0
14,224.98,1,9.61,pass,1610612739,2590,90.44805,40.29794,99,"[0, 0, 0, 1, 0]",201567,82.51675,40.59753,0
14,224.94,1,9.57,pass,1610612739,201567,82.51675,40.59753,99,"[0, 0, 0, 1, 0]",2590,90.35074,40.6635,0
14,224.9,1,9.53,pass,1610612739,2590,90.35074,40.6635,99,"[0, 0, 0, 1, 0]",203521,57.44804,40.11727,0
14,224.66,1,9.29,pass,1610612739,203521,57.87226,40.20098,77,"[0, 0, 0, 1, 0]",2590,89.98837,41.88724,0
14,223.82,1,8.46,pass,1610612739,2590,89.46084,44.98931,99,"[0, 0, 0, 1, 1]",203521,61.1937,41.99942,0
14,223.7,1,8.34,pass,1610612739,203521,61.76903,42.16875,77,"[0, 0, 0, 1, 1]",2590,89.3123,45.4726,0
14,223.54,1,8.18,pass,1610612739,2590,89.25322,45.83577,99,"[0, 0, 0, 1, 1]",203521,65.32563,42.35372,0
14,222.9,1,7.55,pass,1610612739,203521,66.94905,40.38494,88,"[0, 0, 0, 1, 1]",202684,64.06129,40.14756,0
14,222.74,1,7.39,pass,1610612739,202684,64.25084,39.70745,88,"[0, 0, 0, 1, 1]",203521,68.2632,38.5628,0
14,219.78,1,4.46,shot,1610612739,203521,80.44202,18.53153,66,"[0, 0, 0, 1, 1]",,,,2
15,134.25,1,9.17,pass,1610612739,201567,62.41274,26.24644,44,"[0, 0, 0, 0, 0]",203521,70.4095,4.84683,0
15,133.09,1,8.01,pass,1610612739,203521,70.56987,5.03986,22,"[0, 0, 0, 0, 1]",2210,88.32193,2.35999,0
15,131.61,1,6.53,shot,1610612739,2210,84.28591,12.03182,33,"[0, 0, 1, 0, 0]",,,,0
16,411.34,1,7.81,pass,1610612739,2590,13.47948,12.03917,1,"[1, 0, 0, 0, 0]",202389,14.92359,23.99141,0
16,410.42,1,6.93,shot,1610612739,202389,13.9341,24.45452,4,"[0, 0, 1, 1, 0]",,,,0
17,373.96,1,20.01,pass,1610612739,202389,13.70031,21.81841,4,"[0, 0, 0, 0, 0]",2590,22.42154,24.3503,0
17,368.75,1,16.33,shot,1610612739,2590,60.5077,15.90814,11,"[1, 0, 1, 0, 1]",,,,2
