huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
21,405.49,3,23.09,pass,1610612739,2590,18.45505,32.14219,5,"[1, 0, 0, 0, 1]",201567,69.43383,32.13322,0
21,405.37,3,22.97,shot,1610612739,201567,69.30463,32.13271,55,"[1, 0, 0, 0, 1]",,,,0
22,353.78,3,10.29,pass,1610612739,202389,16.75738,10.3245,2,"[1, 0, 0, 0, 0]",2590,3.62514,10.70172,0
22,353.74,3,10.25,shot,1610612739,2590,3.62514,10.70172,1,"[1, 0, 0, 0, 0]",,,,0
23,145.65,3,8.05,pass,1610612739,2544,72.42836,18.28691,55,"[0, 0, 0, 0, 1]",201567,79.90556,20.46608,0
23,145.61,3,8.01,shot,1610612739,201567,79.90556,20.46608,66,"[0, 0, 0, 0, 0]",,,,0
24,60,3,24,pass,1610612739,2592,95.10645,29.59444,1,"[0, 0, 0, 0, 1]",203521,84.39938,28.47883,0
24,60,3,24,pass,1610612739,203521,84.32317,29.13379,66,"[0, 0, 0, 0, 1]",2592,95.41567,29.44738,0
24,53.04,3,16.04,pass,1610612739,2592,24.4973,16.50516,2,"[0, 0, 1, 0, 0]",203521,36.89839,30.82113,0
24,51.56,3,14.56,pass,1610612739,203521,35.15565,30.38523,6,"[0, 0, 0, 0, 0]",202684,27.16396,32.54692,0
24,51.32,3,14.32,pass,1610612739,202684,27.79529,32.32179,5,"[0, 1, 0, 0, 1]",203521,33.23751,32.40054,0
24,49,3,12,shot,1610612739,203521,17.21496,40.05856,8,"[1, 1, 0, 0, 1]",,,,0
25,658.61,3,4.08,pass,1610612739,2544,8.34204,39.52728,7,"[0, 1, 0, 0, 0]",2590,31.19818,39.35911,0
25,656.65,3,2.5,shot,1610612739,2590,26.57723,41.63223,8,"[0, 1, 0, 0, 0]",,,,3
26,500.58,3,15.04,pass,1610612739,201567,8.89183,33.05841,4,"[0, 0, 0, 1, 1]",2590,32.7237,32.91902,0
26,500.46,3,14.92,pass,1610612739,2590,32.70494,32.93606,6,"[0, 0, 0, 1, 1]",201567,7.80365,31.95272,0
26,500.38,3,14.84,shot,1610612739,201567,7.52547,31.61796,4,"[0, 0, 0, 1, 1]",,,,2
27,212.56,3,21.13,pass,1610612739,2590,66.54989,21.17012,55,"[0, 0, 0, 0, 0]",2210,72.22032,27.44809,0
27,194.56,3,4.02,shot,1610612739,2210,81.14342,29.88533,66,"[1, 0, 0, 0, 1]",,,,0
28,66.15,3,3.88,pass,1610612739,2747,8.0212,9.09257,1,"[0, 0, 0, 0, 0]",203521,32.00415,10.51486,0
28,66.07,3,3.81,pass,1610612739,203521,32.16528,10.6375,3,"[0, 0, 1, 0, 0]",2747,7.77737,10.87995,0
28,65.91,3,3.67,shot,1610612739,2747,7.91231,12.54442,1,"[0, 0, 1, 0, 0]",,,,0
29,663.82,3,23.47,pass,1610612739,202389,82.93635,21.31085,66,"[0, 0, 0, 1, 0]",201567,90.31099,15.05364,0
29,662.9,3,22.76,pass,1610612739,201567,90.09061,13.3193,33,"[0, 0, 0, 0, 0]",2590,64.92573,13.88276,0
29,662.22,3,22.23,shot,1610612739,2590,69.22175,7.86168,22,"[0, 0, 0, 0, 0]",,,,0
30,586.98,3,14.49,pass,1610612739,201567,63.17427,25.46779,55,"[0, 0, 0, 0, 0]",2590,60.80609,17.75009,0
30,586.22,3,13.95,shot,1610612739,2590,60.80609,17.75009,44,"[0, 0, 0, 1, 1]",,,,0
31,560.21,3,20.9,pass,1610612739,2747,78.03224,42.66422,88,"[0, 0, 1, 0, 1]",202389,74.13042,42.42228,0
31,560.05,3,20.74,pass,1610612739,202389,74.60562,42.16165,88,"[0, 0, 1, 0, 1]",2747,78.14779,40.60676,0
31,559.49,3,20.2,pass,1610612739,2747,76.28812,36.42388,88,"[0, 0, 1, 0, 1]",201567,71.65105,45.59676,0
31,558.21,3,18.95,shot,1610612739,201567,74.08945,44.83061,88,"[0, 0, 0, 0, 0]",,,,3
