huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
1,595.48,4,17.53,pass,1610612739,2210,26.12901,13.53212,2,"[1, 0, 0, 0, 0]",2590,8.97377,9.45697,0
1,595,4,17.13,pass,1610612739,2590,8.52502,8.6331,1,"[1, 0, 0, 0, 1]",2210,16.49779,13.18912,0
1,594.76,4,16.93,shot,1610612739,2210,16.05547,13.36654,2,"[1, 0, 0, 0, 0]",,,,0
2,585.91,4,16.61,pass,1610612739,2210,86.64636,23.66509,66,"[1, 1, 0, 0, 0]",2590,50.72764,23.57951,0
2,584.99,4,15.69,pass,1610612739,2590,57.23616,32.77216,44,"[0, 0, 1, 0, 0]",202684,66.53134,36.16311,0
2,584.75,4,15.45,pass,1610612739,202684,66.37231,35.70416,88,"[0, 0, 1, 0, 0]",2590,65.7205,39.39449,0
2,583.43,4,14.13,shot,1610612739,2590,76.94612,43.30706,88,"[1, 1, 1, 0, 0]",,,,0
3,485.09,4,16.96,pass,1610612739,201567,64.19411,29.40303,55,"[0, 0, 0, 1, 0]",2544,59.50456,29.28236,0
3,482.45,4,14.56,shot,1610612739,2544,66.59854,15.9234,22,"[0, 0, 0, 0, 0]",,,,2
4,287.32,4,12.42,pass,1610612739,2544,56.56976,14.51073,11,"[0, 1, 0, 0, 0]",202684,64.06003,16.87756,0
4,285.08,4,10.18,pass,1610612739,202684,59.99208,19.21155,44,"[0, 1, 0, 0, 1]",2544,56.12341,19.04211,0
4,283.96,4,9.06,pass,1610612739,2544,67.70594,16.47977,22,"[0, 0, 0, 0, 1]",202684,61.34707,17.62793,0
4,283.8,4,8.9,pass,1610612739,202684,62.14469,17.68593,44,"[0, 0, 0, 0, 1]",2544,70.31355,17.86179,0
4,283.76,4,8.86,shot,1610612739,2544,70.31355,17.86179,55,"[0, 0, 0, 0, 1]",,,,2
5,184.17,4,19.77,pass,1610612739,203521,68.6085,4.38045,22,"[0, 0, 0, 0, 0]",2544,85.26244,2.86667,0
5,183.93,4,19.53,shot,1610612739,2544,86.38507,2.30043,33,"[0, 0, 0, 0, 0]",,,,0
6,157.9,4,19.93,pass,1610612739,2590,20.58265,30.78984,5,"[0, 0, 0, 1, 0]",203521,56.94616,27.5148,0
6,157.14,4,19.33,pass,1610612739,203521,58.58798,28.64348,44,"[0, 0, 0, 1, 0]",2590,24.92509,28.88957,0
6,152.14,4,15.35,pass,1610612739,2590,55.04582,27.89088,44,"[0, 0, 0, 0, 0]",201567,66.73796,34.63472,0
6,147.9,4,11.97,pass,1610612739,201567,76.27661,41.19691,88,"[0, 0, 1, 1, 1]",203521,71.84408,41.0753,0
6,147.14,4,11.37,shot,1610612739,203521,75.33081,31.67197,55,"[0, 0, 0, 0, 1]",,,,0
7,595.37,4,20.47,pass,1610612739,2592,73.57606,5.7744,22,"[0, 0, 0, 0, 1]",2544,90.12542,7.51416,0
7,595.13,4,20.28,pass,1610612739,2544,89.64619,5.98481,33,"[0, 0, 0, 0, 1]",2592,73.91911,5.86149,0
7,595.05,4,20.22,shot,1610612739,2592,73.95062,5.86577,22,"[0, 0, 0, 0, 1]",,,,0
8,356.24,4,20.38,pass,1610612739,2544,43.78916,48.47565,9,"[0, 0, 0, 0, 0]",2210,72.01449,46.98925,0
8,355.96,4,20.11,pass,1610612739,2210,74.80423,47.1688,88,"[0, 0, 1, 0, 0]",2544,49.17704,46.85339,0
8,355.13,4,19.3,shot,1610612739,2544,53.67967,45.64053,77,"[0, 0, 0, 0, 0]",,,,0
9,264.94,4,16.84,pass,1610612739,202684,69.56345,30.36396,55,"[0, 1, 0, 0, 1]",2544,65.32345,30.60929,0
9,264.9,4,16.8,shot,1610612739,2544,65.32345,30.60929,55,"[0, 1, 0, 0, 1]",,,,0
10,170.73,4,6.28,pass,1610612739,201567,74.86847,3.90462,22,"[1, 0, 0, 0, 1]",2210,87.86673,9.78029,0
10,169.81,4,5.4,pass,1610612739,2210,88.21651,8.16723,33,"[0, 0, 0, 0, 1]",201567,74.72192,8.08492,0
10,169.69,4,5.29,shot,1610612739,201567,74.70295,8.26465,22,"[0, 0, 0, 0, 1]",,,,2
11,658,4,24,pass,1610612739,203521,78.90203,26.65688,66,"[0, 0, 0, 0, 0]",202684,67.80056,18.25362,0
11,658.64,4,23.74,pass,1610612739,202684,66.7805,18.34495,55,"[0, 0, 0, 0, 0]",203521,86.40239,18.06158,0
11,652.29,4,17.39,pass,1610612739,203521,34.05071,12.62449,3,"[0, 1, 0, 0, 0]",2747,28.52909,30.30754,0
11,650.57,4,15.67,shot,1610612739,2747,25.58512,22.03257,5,"[0, 0, 1, 0, 0]",,,,0
12,627.29,4,20.89,pass,1610612739,203521,71.43097,38.05838,88,"[0, 0, 0, 0, 0]",2210,32.38626,36.23338,0
12,627.01,4,20.66,pass,1610612739,2210,30.08082,38.39854,8,"[0, 0, 0, 0, 0]",203521,64.26233,39.2291,0
12,621.14,4,15.72,pass,1610612739,203521,35.09044,35.60806,9,"[0, 0, 0, 0, 0]",2592,26.27356,11.85939,0
12,620.14,4,14.88,shot,1610612739,2592,26.34469,12.1132,2,"[0, 0, 0, 0, 1]",,,,0
13,561.5,4,18.4,pass,1610612739,2544,23.39424,40.69471,8,"[0, 0, 0, 0, 1]",202684,20.79581,37.09086,0
13,560.86,4,17.85,pass,1610612739,202684,20.62024,37.07891,8,"[0, 0, 1, 0, 1]",2544,18.87152,36.80429,0
13,550.74,4,9.14,shot,1610612739,2544,14.41523,32.36012,4,"[0, 0, 1, 0, 0]",,,,2
14,393.17,4,12.77,pass,1610612739,202684,2.01914,13.21491,1,"[0, 0, 1, 0, 1]",2544,24.0598,13.62599,0
14,386.93,4,6.53,shot,1610612739,2544,17.8278,20.74393,5,"[0, 0, 1, 0, 1]",,,,2
15,258,4,14.39,pass,1610612739,201567,89.61852,15.73095,33,"[0, 0, 0, 0, 1]",202684,87.01078,15.46325,0
15,257.96,4,14.35,pass,1610612739,202684,87.01078,15.46325,33,"[0, 0, 0, 1, 1]",201567,89.62243,15.16526,0
15,257.83,4,14.23,pass,1610612739,201567,89.67979,14.61499,33,"[0, 0, 0, 1, 1]",202684,87.18603,15.29454,0
15,256.76,4,13.15,shot,1610612739,202684,88.39063,16.08241,33,"[0, 0, 0, 0, 1]",,,,0
16,593.78,4,18.67,pass,1610612739,202684,32.65269,22.93528,6,"[0, 0, 1, 0, 0]",203521,12.52016,22.68829,0
16,593.54,4,18.43,pass,1610612739,203521,10.94038,21.00403,4,"[0, 0, 1, 0, 0]",201567,18.09887,19.42787,0
16,581.34,4,6.37,shot,1610612739,201567,14.09498,42.53845,7,"[0, 0, 0, 0, 0]",,,,0
17,564.1,4,9.49,pass,1610612739,201567,73.9876,26.00833,55,"[0, 0, 0, 1, 0]",202684,89.05411,31.28634,0
17,563.49,4,8.91,shot,1610612739,202684,89.38322,30.52358,66,"[0, 0, 0, 0, 0]",,,,0
18,637.32,4,14.92,pass,1610612739,2210,66.94817,13.78984,22,"[0, 0, 0, 0, 0]",202684,76.00484,13.6404,0
18,637.24,4,14.84,pass,1610612739,202684,75.93372,13.56413,22,"[0, 0, 0, 0, 0]",2210,67.87074,12.89277,0
18,634.44,4,12.04,shot,1610612739,2210,77.88423,3.99102,22,"[0, 0, 0, 0, 0]",,,,2
19,224.33,4,11.98,pass,1610612739,201567,66.27524,32.16743,55,"[0, 0, 0, 0, 1]",2590,60.45824,31.71761,0
19,218.45,4,7,pass,1610612739,2590,63.88985,27.92884,55,"[0, 0, 0, 0, 1]",2747,74.87378,46.22509,0
19,214.53,4,3.67,shot,1610612739,2747,80.0996,42.89649,99,"[0, 0, 0, 1, 1]",,,,0
20,210.39,5,15.51,pass,1610612739,2544,63.60499,22.96846,55,"[0, 0, 1, 0, 0]",2590,56.53724,22.94078,0
20,208.79,5,13.95,shot,1610612739,2590,74.08382,31.91468,55,"[0, 1, 0, 0, 0]",,,,2
21,238.24,6,17.54,pass,1610612739,2590,71.14337,5.08575,22,"[0, 0, 0, 0, 0]",2210,88.23188,2.23434,0
21,238.2,6,17.5,pass,1610612739,2210,88.23188,2.23434,33,"[0, 0, 0, 0, 0]",2590,70.88237,4.97556,0
21,237.65,6,16.95,pass,1610612739,2590,69.54896,4.69691,22,"[0, 1, 0, 0, 1]",2210,88.17556,2.19263,0
21,237.53,6,16.83,pass,1610612739,2210,88.17464,2.18375,33,"[0, 1, 0, 0, 1]",2590,69.22476,4.65452,0
21,226.57,6,5.87,pass,1610612739,2590,69.01591,43.8036,88,"[0, 0, 0, 0, 1]",2747,92.02845,46.95374,0
21,226.49,6,5.79,pass,1610612739,2747,92.12753,46.90804,99,"[0, 0, 0, 0, 0]",2590,73.19307,45.0683,0
21,226.13,6,5.43,shot,1610612739,2590,74.30326,45.38011,88,"[0, 0, 0, 0, 0]",,,,0
22,658.51,4,19.44,pass,1610612739,202684,29.32162,22.81885,5,"[0, 0, 0, 0, 0]",2544,25.17472,22.60559,0
22,658.31,4,19.26,pass,1610612739,2544,24.4335,21.6983,5,"[0, 0, 0, 0, 0]",203521,43.84856,23.44273,0
22,656.95,4,18.06,pass,1610612739,203521,40.96121,23.14079,6,"[0, 0, 0, 0, 0]",202684,20.88177,23.88296,0
22,656.67,4,17.81,pass,1610612739,202684,20.18785,23.5893,5,"[0, 0, 0, 0, 0]",203521,39.13703,23.20373,0
22,641.65,4,4.53,shot,1610612739,203521,7.73571,32.79749,4,"[0, 0, 1, 1, 1]",,,,0
23,261.16,4,7.42,pass,1610612739,2590,80.47005,44.70899,99,"[1, 0, 0, 0, 1]",202389,77.79981,43.6589,0
23,261.04,4,7.3,shot,1610612739,202389,77.71705,43.55302,88,"[1, 0, 0, 0, 1]",,,,0
24,81.83,4,16.62,pass,1610612739,2590,73.172,12.13643,22,"[1, 0, 0, 0, 0]",2544,63.67894,12.49704,0
24,72.75,4,7.42,shot,1610612739,2544,79.72205,28.76377,66,"[0, 1, 0, 0, 0]",,,,0
25,561.75,4,18.99,pass,1610612739,2760,66.60236,32.53466,55,"[0, 0, 1, 0, 1]",203521,65.24566,35.9927,0
25,552.22,4,9.55,shot,1610612739,203521,72.4815,43.96376,88,"[0, 0, 1, 0, 1]",,,,0
26,477.13,4,21.61,pass,1610612739,203099,32.73786,42.63443,9,"[0, 0, 0, 0, 0]",2210,41.78836,42.05715,0
26,477.06,4,21.54,pass,1610612739,2210,42.61408,42.38997,9,"[0, 0, 0, 0, 0]",203099,34.93187,42.61203,0
26,470.55,4,15.62,shot,1610612739,203099,66.75832,39.45506,88,"[0, 1, 0, 0, 0]",,,,0
27,457.1,4,15.82,pass,1610612739,203521,64.18656,22.36415,55,"[0, 1, 0, 0, 1]",2760,68.15407,23.0361,0
27,457.06,4,15.78,pass,1610612739,2760,68.15407,23.0361,55,"[0, 1, 0, 0, 1]",203521,67.31497,27.17438,0
27,455.98,4,14.68,shot,1610612739,203521,72.4885,30.51436,55,"[0, 0, 0, 0, 0]",,,,2
28,330.7,4,19.62,pass,1610612739,203099,57.52483,33.407,77,"[0, 0, 0, 1, 0]",201619,67.38532,31.05094,0
28,330.38,4,19.3,pass,1610612739,201619,71.23165,31.22146,55,"[0, 0, 0, 0, 0]",203099,59.87561,32.63302,0
28,330.1,4,19.02,shot,1610612739,203099,60.19289,33.5627,77,"[0, 0, 0, 0, 0]",,,,0
29,226.17,4,7.46,pass,1610612739,2760,77.37587,37.47742,88,"[0, 0, 0, 0, 0]",201619,88.15637,21.26771,0
29,224.52,4,5.82,shot,1610612739,201619,88.56863,23.52887,66,"[0, 0, 0, 1, 0]",,,,0
30,153.56,4,8.9,pass,1610612739,203099,62.93015,18.19599,55,"[0, 0, 0, 0, 0]",201619,68.27271,22.9587,0
30,153.2,4,8.52,pass,1610612739,201619,68.27271,22.9587,55,"[0, 0, 0, 1, 0]",203099,63.43265,22.96618,0
30,152.35,4,7.64,shot,1610612739,203099,67.01042,29.94365,55,"[0, 0, 1, 1, 0]",,,,0
31,100.67,4,17.1,pass,1610612739,203099,34.69552,21.58851,6,"[0, 0, 1, 1, 0]",201619,23.45857,23.30826,0
31,87.71,4,4.2,pass,1610612739,201619,18.23904,20.17462,5,"[1, 0, 0, 1, 0]",2210,25.8104,22.25837,0
31,86.49,4,2.98,shot,1610612739,2210,19.17552,25.98736,5,"[0, 0, 0, 0, 0]",,,,0
32,324.81,4,10.78,pass,1610612739,2544,78.02129,34.96129,88,"[0, 1, 0, 0, 0]",203099,65.60481,36.61496,0
32,324.01,4,10,pass,1610612739,203099,65.0072,37.81212,88,"[0, 1, 0, 0, 0]",2544,80.03203,37.86529,0
32,316.89,4,3.03,shot,1610612739,2544,83.04382,25.51592,66,"[0, 0, 0, 0, 1]",,,,0
33,250.74,4,3.93,pass,1610612739,2544,83.56271,16.41909,33,"[0, 1, 0, 0, 0]",2590,63.14687,16.28572,0
33,250.42,4,3.65,pass,1610612739,2590,63.16452,16.2132,22,"[0, 1, 0, 0, 0]",2544,82.08456,16.70137,0
33,250.22,4,3.48,pass,1610612739,2544,81.7101,16.36161,33,"[0, 1, 0, 0, 1]",2590,63.23453,15.72234,0
33,250.06,4,3.35,pass,1610612739,2590,63.24926,15.50781,22,"[0, 1, 0, 0, 1]",2544,81.50214,15.38371,0
