huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
1,694.76,2,17.86,pass,1610612739,2544,72.04837,36.19659,88,"[0, 0, 0, 0, 0]",2590,65.49021,34.05521,0
1,688.85,2,11.95,shot,1610612739,2590,74.23233,12.24874,22,"[1, 0, 0, 0, 0]",,,,0
2,629.15,2,19.73,pass,1610612739,2590,68.11214,27.27494,55,"[0, 0, 0, 0, 0]",201567,34.67967,29.87972,0
2,628.07,2,19,pass,1610612739,201567,29.73355,29.09024,5,"[0, 0, 0, 0, 0]",202389,61.68856,29.92641,0
2,627.99,2,18.95,pass,1610612739,202389,61.37408,29.66267,44,"[0, 0, 0, 0, 0]",2590,54.9953,32.97064,0
2,625.27,2,17.09,shot,1610612739,2590,39.93376,42.33306,9,"[0, 0, 0, 0, 0]",,,,2
3,454.17,2,11.39,pass,1610612739,202389,14.55114,38.59984,7,"[0, 0, 0, 0, 0]",2747,26.25593,39.13514,0
3,450.85,2,8.25,shot,1610612739,2747,17.30899,34.38836,8,"[0, 0, 1, 1, 1]",,,,0
4,213.34,2,17.11,pass,1610612739,203521,77.14872,16.75779,55,"[0, 0, 0, 1, 1]",2760,82.12186,18.4476,0
4,213.31,2,17.07,pass,1610612739,2760,82.12186,18.4476,66,"[0, 0, 0, 1, 1]",203521,78.06248,19.37877,0
4,212.99,2,16.82,shot,1610612739,203521,78.59924,20.60616,66,"[0, 0, 0, 1, 1]",,,,0
5,159.3,2,17.47,pass,1610612739,203521,27.56189,5.92698,2,"[0, 0, 0, 1, 0]",2544,1.85294,2.03129,0
5,159.18,2,17.35,shot,1610612739,2544,1.75256,2.04557,1,"[0, 0, 0, 0, 0]",,,,3
6,67.52,2,16.82,pass,1610612739,2210,23.80803,10.94248,2,"[1, 0, 1, 0, 1]",2760,24.24764,11.65222,0
6,67.48,2,16.78,pass,1610612739,2760,24.24764,11.65222,2,"[1, 0, 1, 0, 1]",2210,24.30641,11.69338,0
6,66.48,2,16.04,shot,1610612739,2210,25.16442,22.08708,5,"[0, 0, 0, 0, 0]",,,,0
7,481.07,2,12.57,pass,1610612739,2544,8.1575,41.0579,7,"[0, 0, 1, 0, 0]",201567,25.09554,40.55127,0
7,481.03,2,12.53,pass,1610612739,201567,25.09554,40.55127,8,"[0, 0, 1, 1, 0]",2544,7.54832,40.53271,0
7,479.63,2,11.13,shot,1610612739,2544,3.77385,37.2751,7,"[0, 0, 1, 0, 0]",,,,0
8,291.87,2,11.57,pass,1610612739,2210,73.24515,9.46726,22,"[1, 0, 0, 0, 1]",2590,80.893,10.48932,0
8,291.79,2,11.49,pass,1610612739,2590,80.97026,10.56732,33,"[1, 0, 0, 0, 1]",2210,72.80295,10.76562,0
8,285.51,2,5.45,pass,1610612739,2210,72.41262,25.77487,55,"[0, 0, 0, 1, 1]",202389,88.53237,23.93272,0
8,285.19,2,5.14,shot,1610612739,202389,88.53237,23.93272,66,"[0, 0, 0, 1, 1]",,,,0
9,278.63,2,19.02,pass,1610612739,202389,39.78065,14.18739,3,"[0, 1, 0, 0, 0]",2590,17.57221,14.37222,0
9,277.83,2,18.28,shot,1610612739,2590,15.67202,11.92453,2,"[0, 0, 0, 1, 0]",,,,0
10,244.19,2,14.19,pass,1610612739,202389,28.42163,16.35924,2,"[0, 1, 0, 0, 1]",2590,33.03221,14.05373,0
10,239.95,2,10.64,shot,1610612739,2590,27.02456,29.65313,5,"[0, 1, 0, 0, 0]",,,,2
11,67.8,2,10,pass,1610612739,203521,28.51738,38.16006,8,"[0, 1, 0, 0, 1]",2590,6.44841,43.86679,0
11,67.73,2,9.93,shot,1610612739,2590,5.62611,43.93557,7,"[1, 0, 0, 0, 0]",,,,2
12,390.94,2,15.84,pass,1610612739,202684,65.81475,39.14928,88,"[0, 1, 0, 0, 1]",2544,70.57307,39.28053,0
12,390.5,2,15.4,shot,1610612739,2544,74.63613,37.31997,88,"[0, 1, 0, 0, 0]",,,,0
13,181.3,2,3.4,pass,1610612739,202389,82.49069,25.25233,66,"[0, 1, 0, 0, 0]",2590,91.30267,23.94021,0
13,181.06,2,3.2,pass,1610612739,2590,91.34232,21.92542,66,"[0, 0, 0, 0, 0]",201567,60.18484,20.32816,0
13,180.94,2,3.09,pass,1610612739,201567,60.19744,20.57165,44,"[0, 0, 0, 0, 0]",2590,90.97803,20.42057,0
13,180.58,2,2.78,pass,1610612739,2590,89.45608,17.7904,66,"[0, 1, 0, 0, 0]",201567,61.65497,22.49374,0
13,179.66,2,1.98,shot,1610612739,201567,61.66393,22.6738,44,"[0, 1, 0, 0, 1]",,,,0
14,141.88,2,22.52,pass,1610612739,201567,36.68167,31.98762,6,"[0, 0, 0, 0, 0]",2590,28.82614,33.64004,0
14,132.32,2,13.24,shot,1610612739,2590,10.12237,39.47958,7,"[1, 0, 0, 0, 0]",,,,0
15,115.64,2,12.52,pass,1610612739,2590,62.96825,39.33781,88,"[1, 0, 1, 0, 0]",2544,76.76393,39.41663,0
15,112.8,2,10.2,shot,1610612739,2544,86.16798,33.31678,99,"[0, 0, 1, 0, 0]",,,,0
16,552.05,2,20.56,pass,1610612739,201567,63.20608,17.80811,55,"[0, 1, 0, 0, 0]",2747,83.79847,17.43827,0
16,551.08,2,19.47,pass,1610612739,2747,88.72106,29.55542,66,"[0, 0, 0, 0, 0]",2760,83.22958,30.40032,0
16,551.05,2,19.43,pass,1610612739,2760,83.22958,30.40032,66,"[0, 0, 0, 0, 0]",2747,88.82513,30.61503,0
16,550.68,2,19.02,shot,1610612739,2747,88.82686,34.26949,99,"[0, 0, 0, 0, 0]",,,,0
17,380.45,2,12.52,pass,1610612739,2590,62.69573,13.67101,22,"[0, 0, 0, 0, 0]",201567,80.02108,3.34216,0
17,379.42,2,11.4,shot,1610612739,201567,80.75947,3.72243,33,"[0, 0, 0, 0, 0]",,,,0
18,343.87,2,24,pass,1610612739,202389,-1.40423,20.45571,4,"[0, 0, 0, 0, 0]",2590,11.61514,19.68882,0
18,335.7,2,15.78,shot,1610612739,2590,73.65548,38.63871,88,"[0, 0, 0, 0, 0]",,,,2
19,256.47,2,20.21,pass,1610612739,201567,15.93378,19.63983,5,"[0, 0, 0, 0, 0]",2590,25.54824,19.45491,0
19,256.06,2,19.88,pass,1610612739,2590,26.92388,18.57143,5,"[0, 0, 0, 0, 0]",202389,54.44747,15.61152,0
19,255.82,2,19.68,pass,1610612739,202389,55.84408,15.65057,11,"[0, 0, 0, 0, 0]",2590,33.15639,15.32345,0
19,253.86,2,18.07,pass,1610612739,2590,49.94097,7.43118,11,"[0, 0, 0, 0, 0]",2544,75.85798,3.62144,0
19,253.1,2,17.44,pass,1610612739,2544,76.36178,4.53001,22,"[0, 0, 0, 0, 0]",2590,63.5972,3.19153,0
19,249.85,2,14.77,pass,1610612739,2590,64.83123,7.34802,22,"[0, 1, 0, 0, 0]",2544,68.16646,7.48005,0
19,249.77,2,14.7,pass,1610612739,2544,68.04645,7.47665,22,"[0, 1, 0, 0, 0]",2590,64.43282,8.45384,0
19,248.65,2,13.78,shot,1610612739,2590,68.99706,18.96671,55,"[0, 0, 0, 0, 0]",,,,2
20,241.67,2,19.68,pass,1610612739,201567,31.26524,21.88749,6,"[0, 0, 0, 1, 0]",202389,25.0269,20.89875,0
20,228.12,2,8.07,shot,1610612739,202389,21.97382,15.34808,2,"[0, 1, 0, 0, 0]",,,,0
21,211.31,2,14.41,pass,1610612739,202389,63.25823,25.65133,55,"[0, 0, 1, 0, 0]",2590,52.11242,25.05548,0
21,210.15,2,13.42,shot,1610612739,2590,61.29049,18.97305,44,"[1, 0, 0, 0, 1]",,,,0
22,158.15,2,17.78,pass,1610612739,201567,67.64623,37.44032,88,"[0, 0, 0, 0, 1]",2544,58.90389,15.36049,0
22,155.81,2,15.32,shot,1610612739,2544,74.39004,11.77873,22,"[0, 0, 0, 0, 1]",,,,0
23,119.64,2,18.46,pass,1610612739,202684,72.75652,10.66263,22,"[0, 0, 0, 1, 0]",2747,80.00973,10.98949,0
23,118.88,2,17.79,shot,1610612739,2747,83.89447,17.96121,66,"[0, 0, 1, 1, 0]",,,,2
24,694,2,17,pass,1610612739,203521,5.04111,36.15891,7,"[0, 0, 0, 0, 1]",2760,20.44629,32.8471,0
24,693.74,2,16.84,shot,1610612739,2760,16.17295,31.23256,5,"[0, 0, 0, 0, 1]",,,,2
25,599.78,2,13.77,pass,1610612739,203521,40.91772,34.402,9,"[0, 0, 1, 0, 0]",202684,21.92461,35.98062,0
25,599.5,2,13.49,pass,1610612739,202684,23.74191,36.32709,8,"[0, 0, 1, 0, 0]",203521,40.86516,34.34788,0
25,599.26,2,13.25,pass,1610612739,203521,40.78875,34.37698,9,"[0, 0, 1, 0, 0]",202684,25.99737,36.27091,0
25,598.98,2,12.97,pass,1610612739,202684,27.86914,36.11182,8,"[0, 0, 1, 0, 0]",203521,37.13764,37.35497,0
25,597.55,2,11.53,shot,1610612739,203521,26.66393,41.27726,8,"[0, 0, 0, 0, 0]",,,,2
26,437.46,2,16.65,pass,1610612739,2747,24.62691,6.99237,2,"[1, 0, 0, 0, 1]",203521,30.61548,28.95578,0
